league,season,window,team_id,team_name,team_country,dir,player_id,player_name,player_age,player_nation,player_nation2,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan,is_loan_end,is_retired,transfer_id
Premier League,2009,s,985,Manchester United,England,in,62049,Mame Diouf,21.0,Senegal,,CF,687,Molde FK,Norway,4500000.0,1600000.0,False,False,False,False,319841
Premier League,2009,s,985,Manchester United,England,in,43261,Gabriel Obertan,20.0,France,Guadeloupe,AM,40,FC Girondins Bordeaux,France,4000000.0,400000.0,False,False,False,False,315185
Premier League,2009,s,631,Chelsea FC,England,in,16760,Yuri Zhirkov,25.0,Russia,,LB,2410,CSKA Moscow,Russia,21000000.0,300000.0,False,False,False,False,314089
Premier League,2009,s,631,Chelsea FC,England,in,47082,Daniel Sturridge,19.0,England,,CF,281,Manchester City,England,7250000.0,2000000.0,False,False,False,False,307097
Premier League,2009,s,631,Chelsea FC,England,in,74683,Nemanja Matic,21.0,Serbia,Slovakia,DM,779,MFK Košice,Slovakia,1750000.0,8000000.0,False,False,False,False,333654
Premier League,2009,s,11,Arsenal FC,England,in,15904,Thomas Vermaelen,23.0,Belgium,,CB,610,Ajax Amsterdam,Netherlands,12000000.0,900000.0,False,False,False,False,304629
Premier League,2009,s,405,Aston Villa,England,in,50362,Fabian Delph,19.0,England,Guyana,CM,399,Leeds United,England,9500000.0,3500000.0,False,False,False,False,328299
Premier League,2009,s,931,Fulham FC,England,in,126587,Stefan Payne,17.0,England,,CF,3052,Sutton United,England,30000.0,200000.0,False,False,False,False,342354
Premier League,2009,s,148,Tottenham Hotspur,England,in,33951,Sébastien Bassong,23.0,Cameroon,France,CB,762,Newcastle United,England,9300000.0,250000.0,False,False,False,False,330005
Premier League,2009,s,148,Tottenham Hotspur,England,in,66219,Kyle Naughton,20.0,England,Ireland,RB,350,Sheffield United,England,5900000.0,1000000.0,False,False,False,False,323075
Premier League,2009,s,148,Tottenham Hotspur,England,in,95424,Kyle Walker,19.0,England,,RB,350,Sheffield United,England,5900000.0,28000000.0,False,False,False,False,323076
Premier League,2009,s,379,West Ham United,England,in,23197,Alessandro Diamanti,26.0,Italy,,AM,1210,AS Livorno,Italy,6800000.0,200000.0,False,False,False,False,336320
Premier League,2009,s,379,West Ham United,England,in,37398,Manuel da Costa,23.0,Morocco,Portugal,CB,430,ACF Fiorentina,Italy,2700000.0,450000.0,False,False,False,False,338516
Premier League,2009,s,379,West Ham United,England,in,66109,Fabio Daprelà,18.0,Switzerland,Italy,CB,504,Grasshopper Club Zurich,Switzerland,1200000.0,400000.0,False,False,False,False,326070
Premier League,2009,s,281,Manchester City,England,in,4276,Carlos Tevez,25.0,Argentina,,SS,379,West Ham United,England,29000000.0,600000.0,False,False,False,False,436836
Premier League,2009,s,281,Manchester City,England,in,215,Roque Santa Cruz,27.0,Paraguay,Spain,CF,164,Blackburn Rovers,England,21200000.0,250000.0,False,False,False,False,306227
Premier League,2009,s,1071,Wigan Athletic,England,in,45333,James McCarthy,18.0,Ireland,Scotland,CM,2999,Hamilton Academical FC,Scotland,5100000.0,3000000.0,False,False,False,False,322326
Premier League,2009,s,1071,Wigan Athletic,England,in,70950,Mohamed Diamé,22.0,Senegal,France,CM,367,Rayo Vallecano,Spain,3000000.0,1200000.0,False,False,False,False,329634
Premier League,2009,s,1071,Wigan Athletic,England,in,39010,Jordi Gómez,24.0,Spain,,CM,714,RCD Espanyol Barcelona,Spain,2450000.0,300000.0,False,False,False,False,305029
Premier League,2009,s,512,Stoke City,England,in,72645,Diego Arismendi,21.0,Uruguay,Italy,DM,866,Club Nacional,Uruguay,3000000.0,100000.0,False,False,False,False,338663
Premier League,2009,s,355,Bolton Wanderers,England,in,81801,Chung-yong Lee,21.0,"Korea, South",,RW,6500,FC Seoul,"Korea, South",2500000.0,650000.0,False,False,False,False,332132
Premier League,2009,s,355,Bolton Wanderers,England,in,128285,Mark Connolly,17.0,Ireland,,CB,12801,Wolverhampton Wanderers U18,England,1200000.0,400000.0,False,False,False,False,453323
Premier League,2009,s,1020,Portsmouth FC,England,in,16922,Kevin-Prince Boateng,22.0,Ghana,Germany,AM,148,Tottenham Hotspur,England,4500000.0,2000000.0,False,False,False,False,337574
Premier League,2009,s,164,Blackburn Rovers,England,in,36371,Nikola Kalinic,21.0,Croatia,,CF,447,HNK Hajduk Split,Croatia,7000000.0,1500000.0,False,False,False,False,331002
Premier League,2009,s,164,Blackburn Rovers,England,in,73734,Steven Nzonzi,20.0,France,DR Congo,DM,1416,Amiens SC,France,580000.0,8000000.0,False,False,False,False,310591
Premier League,2009,s,289,Sunderland AFC,England,in,42411,Fraizer Campbell,21.0,England,Jamaica,CF,985,Manchester United,England,4099999.999999999,700000.0,False,False,False,False,316117
Premier League,2009,s,3008,Hull City,England,in,24636,Paul McShane,23.0,Ireland,,CB,289,Sunderland AFC,England,2500000.0,400000.0,False,False,False,False,338281
Premier League,2009,s,543,Wolverhampton Wanderers,England,in,42062,Greg Halford,24.0,England,,CB,289,Sunderland AFC,England,2400000.0,100000.0,False,False,False,False,311684
Premier League,2009,s,543,Wolverhampton Wanderers,England,in,32660,Stefan Maierhofer,27.0,Austria,,CF,170,Rapid Vienna,Austria,2000000.0,50000.0,False,False,False,False,338486
Premier League,2009,s,337,Birmingham City,England,in,62688,Scott Dann,22.0,England,,CB,990,Coventry City,England,4000000.0,1500000.0,False,False,False,False,301396
Premier League,2009,s,337,Birmingham City,England,in,68327,Jay O'Shea,20.0,Ireland,,CM,9212,Galway United FC (- 2011),Ireland,100000.0,350000.0,False,False,False,False,331003
Premier League,2009,s,1132,Burnley FC,England,in,35099,Steven Fletcher,22.0,Scotland,England,CF,903,Hibernian FC,Scotland,4700000.0,900000.0,False,False,False,False,310667
Premier League,2009,s,1132,Burnley FC,England,in,45331,Brian Easton,21.0,Scotland,,LB,2999,Hamilton Academical FC,Scotland,400000.0,300000.0,False,False,False,False,318342
Premier League,2009,w,1071,Wigan Athletic,England,in,59866,Victor Moses,19.0,Nigeria,England,RM,873,Crystal Palace,England,3000000.0,6500000.0,False,False,False,False,386151
Premier League,2009,w,512,Stoke City,England,in,33873,Asmir Begovic,22.0,Bosnia-Herzegovina,Canada,GK,1020,Portsmouth FC,England,3750000.0,1200000.0,False,False,False,False,386608
Premier League,2009,w,1132,Burnley FC,England,in,31553,Danny Fox,23.0,Scotland,England,LB,371,Celtic FC,Scotland,2100000.0,300000.0,False,False,False,False,384935
Premier League,2009,w,1132,Burnley FC,England,in,111114,Kevin Long,19.0,Ireland,,CB,6065,Cork City FC (- 2009),Ireland,350000.0,1000000.0,False,False,False,False,364225
Premier League,2010,s,1181,Blackpool FC,England,in,56785,Elliot Grandin,22.0,France,DR Congo,AM,208,CSKA Sofia,Bulgaria,1500000.0,150000.0,False,False,False,False,465766
Premier League,2010,s,1181,Blackpool FC,England,in,52495,Chris Basham,21.0,England,,CB,355,Bolton Wanderers,England,1400000.0,2000000.0,False,False,False,False,466879
Premier League,2010,s,1181,Blackpool FC,England,in,59606,Craig Cathcart,21.0,Northern Ireland,,CB,9251,Manchester United Reserves,England,625000.0,1500000.0,False,False,False,False,465745
Premier League,2010,s,1181,Blackpool FC,England,in,77274,Matt Phillips,19.0,Scotland,England,RW,2805,Wycombe Wanderers,England,400000.0,4000000.0,False,False,False,False,475784
Premier League,2010,s,1071,Wigan Athletic,England,in,40822,Mauro Boselli,25.0,Argentina,Mexico,CF,288,Club Estudiantes de La Plata,Argentina,3700000.0,300000.0,False,False,False,False,438566
