league,season,window,team_id,team_name,team_country,dir,player_id,player_name,player_age,player_nation,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan,is_loan_end,is_retired,transfer_id,log_transfer_fee,log_market_value,age_sq,buying_club_median_fee,log_buying_club_median,sub_position,foot,height_in_cm,country_of_citizenship,goals_per_90,assists_per_90,pos_AM,pos_CB,pos_CF,pos_CM,pos_DM,pos_GK,pos_LB,pos_LM,pos_LW,pos_RB,pos_RM,pos_RW,pos_SS,league_pair,has_appearance_history,has_buying_club_history
GB1,2009,s,985,Manchester United,England,in,62049,Mame Diouf,21.0,Senegal,CF,687,Molde FK,Norway,4500000.0,1600000.0,False,False,False,False,319841,15.319587954740548,14.28551418721001,441.0,4099999.999999999,15.226497531674536,Centre-Forward,right,185.0,Senegal,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,Norway_to_England,0,0
PO1,2009,w,720,FC Porto,Portugal,in,80599,David Addy,19.0,Ghana,LB,5724,Randers FC,Denmark,800000.0,100000.0,False,False,False,False,386531,13.592367006650065,11.512925464970229,361.0,4099999.999999999,15.226497531674536,Left-Back,left,183.0,Ghana,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,Denmark_to_Portugal,0,0
PO1,2009,s,3345,Leixões SC,Portugal,in,76090,Cauê,20.0,Brazil,DM,7478,Esporte Clube Santo André (SP),Brazil,50000.0,350000.0,False,False,False,False,316738,10.819778284410283,12.765688433465597,400.0,4099999.999999999,15.226497531674536,Defensive Midfield,right,184.0,Brazil,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,Brazil_to_Portugal,0,0
PO1,2009,s,1075,SC Braga,Portugal,in,106135,Ángelo Peña,19.0,Venezuela,AM,14555,Estudiantes de Mérida,Venezuela,200000.0,250000.0,False,False,False,False,296295,12.206072645530174,12.429216196844383,361.0,4099999.999999999,15.226497531674536,,,,,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,Venezuela_to_Portugal,0,0
PO1,2009,s,294,SL Benfica,Portugal,in,52647,Júlio César,22.0,Brazil,GK,68608,CF Os Belenenses,Portugal,500000.0,250000.0,False,False,False,False,326417,13.122363377404328,12.429216196844383,484.0,4099999.999999999,15.226497531674536,Goalkeeper,right,191.0,Brazil,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,Portugal_to_Portugal,0,0
PO1,2009,s,294,SL Benfica,Portugal,in,53757,Felipe Menezes,21.0,Brazil,AM,3197,Goiás Esporte Clube,Brazil,1100000.0,525000.0,False,False,False,False,337616,13.9108207377686,13.17115354157376,441.0,4099999.999999999,15.226497531674536,Attacking Midfield,right,185.0,Brazil,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,Brazil_to_Portugal,0,0
PO1,2009,s,294,SL Benfica,Portugal,in,95087,Patric,20.0,Brazil,RB,22064,Brasa Futebol Clube (SP),Brazil,2000000.0,800000.0,False,False,False,False,287837,14.508657738524219,13.592367006650065,400.0,4099999.999999999,15.226497531674536,,,,,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,Brazil_to_Portugal,0,0
PO1,2009,s,294,SL Benfica,Portugal,in,36350,Javi García,22.0,Spain,CB,418,Real Madrid,Spain,7000000.0,600000.0,False,False,False,False,322510,15.761420707019587,13.304684934198283,484.0,4099999.999999999,15.226497531674536,Defensive Midfield,right,187.0,Spain,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,Spain_to_Portugal,0,0
PO1,2009,s,294,SL Benfica,Portugal,in,54170,Ramires,22.0,Brazil,CM,609,Cruzeiro Esporte Clube,Brazil,7500000.0,800000.0,False,False,False,False,294788,15.830413578506539,13.592367006650065,484.0,4099999.999999999,15.226497531674536,Central Midfield,right,179.0,Brazil,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,Brazil_to_Portugal,0,0
PO1,2009,s,336,Sporting CP,Portugal,in,37918,Matías Fernández,23.0,Chile,AM,1050,Villarreal CF,Spain,4099999.999999999,400000.0,False,False,False,False,308812,15.226497531674536,12.89921982609012,529.0,4099999.999999999,15.226497531674536,Attacking Midfield,right,176.0,Chile,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,Spain_to_Portugal,0,0
